distance_m,sample_index,timestamp_ms,rssi_raw_dbm,rssi_filt_dbm,dist_est_m
0.0,1,1558358,-33,-34.2,0.1
0.0,2,1559358,-33,-34.0,0.1
0.0,3,1560358,-35,-34.1,0.1
0.0,4,1561358,-35,-34.3,0.1
0.0,5,1562358,-34,-34.2,0.1
0.0,6,1563358,-28,-33.3,0.0
0.0,7,1564358,-33,-33.3,0.0
0.0,8,1565358,-34,-33.4,0.0
0.0,9,1566358,-35,-33.6,0.0
0.0,10,1567358,-34,-33.7,0.0
0.0,11,1568358,-34,-33.7,0.0
0.0,12,1569358,-37,-34.2,0.1
0.0,13,1570358,-36,-34.5,0.1
0.0,14,1571358,-37,-34.9,0.1
0.0,15,1572358,-33,-34.6,0.1
0.0,16,1573358,-34,-34.5,0.1
0.0,17,1574358,-34,-34.4,0.1
0.0,18,1575358,-35,-34.5,0.1
0.0,19,1576358,-34,-34.4,0.1
0.0,20,1577358,-33,-34.2,0.1
0.0,21,1578358,-35,-34.3,0.1
0.0,22,1579358,-36,-34.6,0.1
0.0,23,1580358,-38,-35.1,0.1
0.0,24,1581358,-36,-35.2,0.1
0.0,25,1582358,-35,-35.2,0.1
0.0,26,1583358,-34,-35.0,0.1
0.0,27,1584358,-36,-35.2,0.1
0.0,28,1585358,-37,-35.4,0.1
0.0,29,1586358,-34,-35.2,0.1
0.0,30,1587358,-35,-35.2,0.1
0.0,31,1588358,-33,-34.9,0.1
0.0,32,1589358,-34,-34.7,0.1
0.0,33,1590358,-31,-34.2,0.1
0.0,34,1591358,-33,-34.0,0.1
0.0,35,1592358,-35,-34.1,0.1
0.0,36,1593358,-34,-34.1,0.1
0.0,37,1594378,-34,-34.1,0.1
0.0,38,1595378,-34,-34.1,0.1
0.0,39,1596378,-33,-33.9,0.0
0.0,40,1597378,-32,-33.6,0.0
1.0,1,1648388,-73,-76.0,6.3
1.0,2,1649388,-80,-76.6,6.7
1.0,3,1650388,-82,-77.4,7.4
1.0,4,1651388,-76,-77.2,7.2
1.0,5,1652388,-74,-76.7,6.8
1.0,6,1653388,-75,-76.4,6.6
1.0,7,1654388,-80,-77.0,7.1
1.0,8,1655388,-80,-77.4,7.4
1.0,9,1656388,-75,-77.1,7.1
1.0,10,1657388,-71,-76.2,6.4
1.0,11,1658388,-75,-76.0,6.3
1.0,12,1659388,-77,-76.1,6.4
1.0,13,1660388,-75,-76.0,6.3
1.0,14,1661388,-74,-75.7,6.1
1.0,15,1662388,-74,-75.4,5.9
1.0,16,1663388,-82,-76.4,6.6
1.0,17,1664388,-78,-76.6,6.8
1.0,18,1665388,-75,-76.4,6.6
1.0,19,1666388,-72,-75.7,6.1
1.0,20,1667388,-75,-75.6,6.0
1.0,21,1668388,-78,-76.0,6.3
1.0,22,1669388,-76,-76.0,6.3
1.0,23,1670388,-74,-75.7,6.1
1.0,24,1671388,-75,-75.6,6.0
1.0,25,1672388,-79,-76.1,6.4
1.0,26,1673388,-85,-77.4,7.4
1.0,27,1674388,-76,-77.2,7.3
1.0,28,1675388,-73,-76.6,6.7
1.0,29,1676388,-75,-76.3,6.6
1.0,30,1677388,-82,-77.2,7.2
1.0,31,1678388,-75,-76.9,7.0
1.0,32,1679388,-75,-76.6,6.8
1.0,33,1680388,-78,-76.8,6.9
1.0,34,1681388,-78,-77.0,7.1
1.0,35,1682388,-84,-78.0,8.0
1.0,36,1683388,-76,-77.7,7.7
1.0,37,1684388,-74,-77.2,7.2
1.0,38,1685388,-77,-77.1,7.2
1.0,39,1686388,-81,-77.7,7.7
1.0,40,1687388,-80,-78.1,8.0
1.0,41,1688388,-75,-77.6,7.6
1.0,42,1689388,-73,-76.9,7.0
1.0,43,1690408,-75,-76.6,6.8
1.0,44,1691408,-84,-77.7,7.7
1.0,45,1692408,-76,-77.5,7.5
1.0,46,1693408,-75,-77.1,7.2
1.0,47,1694408,-75,-76.8,6.9
1.0,48,1695408,-76,-76.7,6.8
1.0,49,1696408,-88,-78.4,8.3
1.5,1,1746408,-85,-84.2,16.3
1.5,2,1747408,-78,-83.3,14.6
1.5,3,1748408,-82,-83.1,14.3
1.5,4,1749408,-81,-82.8,13.8
1.5,5,1750408,-78,-82.1,12.7
1.5,6,1751408,-82,-82.1,12.7
1.5,7,1752408,-91,-83.4,14.8
1.5,8,1753408,-91,-84.5,16.9
1.5,9,1754408,-79,-83.7,15.3
1.5,10,1755408,-87,-84.2,16.2
1.5,11,1756408,-79,-83.4,14.8
1.5,12,1757408,-82,-83.2,14.5
1.5,13,1758408,-82,-83.0,14.2
1.5,14,1759408,-76,-82.0,12.5
1.5,15,1760408,-91,-83.3,14.7
1.5,16,1761408,-86,-83.7,15.4
1.5,17,1762408,-91,-84.8,17.4
1.5,18,1763408,-91,-85.7,19.4
1.5,19,1764408,-82,-85.2,18.2
1.5,20,1765408,-82,-84.7,17.2
1.5,21,1766408,-82,-84.3,16.4
1.5,22,1767408,-83,-84.1,16.0
1.5,23,1768408,-76,-82.9,13.9
1.5,24,1769408,-92,-84.3,16.3
1.5,25,1770408,-78,-83.3,14.7
1.5,26,1771408,-96,-85.2,18.2
1.5,27,1772408,-88,-85.6,19.1
1.5,28,1773408,-80,-84.8,17.4
1.5,29,1774408,-97,-86.6,21.4
1.5,30,1775408,-85,-86.4,20.8
1.5,31,1776408,-91,-87.1,22.6
1.5,32,1777408,-84,-86.6,21.4
1.5,33,1778408,-84,-86.2,20.5
1.5,34,1779408,-78,-85.0,17.8
1.5,35,1780408,-92,-86.0,20.0
1.5,36,1781408,-87,-86.2,20.4
1.5,37,1782408,-90,-86.8,21.8
1.5,38,1783408,-82,-86.0,20.0
1.5,39,1784408,-92,-86.9,22.2
3.0,1,1858428,-75,-77.1,7.2
3.0,2,1859428,-78,-77.3,7.3
